page	line	token	pieces	class	atRunBoundary	marked
354	6	Yousef’s	Yousef + ’s	punct	no	about the interest of Yousef’s co-conspirator in the 1995 Manila air plot in
354	40	...	. + . + .	punct	no	...
354	41	issued	issue + d	word	no	Having issued directives to guide his administration’s preparations for
354	41	directives	directive + s	word	no	Having issued directives to guide his administration’s preparations for
357	2	composing	compo + sing	word	no	In composing this narrative, we have tried to remember that we write
361	33	...	. + . + .	punct	no	“are we serious about dealing with the al Qida threat? ...Is al Qida a big deal?”
371	24	“Nawaf”	“Nawaf + ”	punct	no	concluded that “Nawaf” and “Khalid” might be part of “an operational cadre”
379	4	Three	Thre + e	word	no	Three years after 9/11, Americans are still thinking and talking about
379	4	years	year + s	word	no	Three years after 9/11, Americans are still thinking and talking about
379	4	after	afte + r	word	no	Three years after 9/11, Americans are still thinking and talking about
387	5	Musharraf’s	Musharraf + ’s	punct	no	Acknowledging these problems and Musharraf’s own part in the story, we
387	6	Musharraf’s	Musharraf + ’s	punct	no	believe that Musharraf’s government represents the best hope for stability in
417	3	presently	pre + se + ntly	word	no	As presently configured, the national security institutions of the U.S.
417	3	configured,	configure + d,	word	no	As presently configured, the national security institutions of the U.S.
438	18	agencies,to	agencies, + to	punct	no	reason to master the subject and the agencies,to conduct oversight of 
446	23	...	. + . + .	punct	no	...
478	30	America,p.60.	America, + p. + 60.	punct	no	Colonel Marr’s statement that “[t]he plan was to protect New York City.” Filson, Air War Over America,p.60.
482	26	Newsweek,Nov.	Newsweek, + Nov.	punct	no	view with Newsweek, Nov. 19, 2001, p. 5;White House transcript, Lynne Cheney interview with Newsweek,Nov.
483	1	Newsweek,Nov.	Newsweek, + Nov.	punct	no	219. For Libby’s characterization, see White House transcript, Scooter Libby interview with Newsweek,Nov.
484	5	Arabi,Feb.	Arabi, + Feb.	punct	no	1.“Text of World Islamic Front’s Statement Urging Jihad Against Jews and Crusaders,” Al Quds al Arabi,Feb.
485	20	Qaeda,p.23.	Qaeda, + p. + 23.	punct	no	27. See FBI report of investigation, interview of Jamal al Fadl, Nov. 10, 1996; Gunaratna, Inside Al Qaeda,p.23.
485	38	Qaeda,p.34.	Qaeda, + p. + 34.	punct	no	34. Gunaratna, Inside Al Qaeda,p.34.
487	11	Laden,Feb.	Laden, + Feb.	punct	no	financial crisis in al Qaeda at this time, see trial testimony of L’Houssaine Kherchtou, United States v. bin Laden,Feb.
490	3	Cell,p.	Cell, + p.	punct	no	On the landmarks plot, see United States v. Rahman, 189 F.3d at 108–111, 123–127; Miller and Stone, The Cell,p.
492	35	30.1999;	30. + 1999;	punct	no	NSA memo,Ann D.to others,“Reporting Guidance,”Dec.30.1999;Intelligence report,Nov.6,2000.See also dis-
493	50	C.F.R.§	C.F.R. + §	punct	no	security sensitive areas of commercial airports,see FAA regulations,“Airport Security,”14 C.F.R.§ 107;FAA report,
494	54	C.F.R.§	C.F.R. + §	punct	no	tions governing the doors,see FAA regulations,“Miscellaneous Equipment”(emergency exit),14 C.F.R.§ 121.313
494	55	C.F.R.§	C.F.R. + §	punct	no	(2001);FAA regulations,“Closing and locking of flight crew compartment door,”14 C.F.R.§ 121.587 (2001). Also
498	39	“Jeff’s”	“Jeff + ’s”	punct	no	8. Mike interview (Dec. 11, 2003). On local contacts, see Gary Schroen interview (Mar. 3, 2004). On “Jeff’s”
504	58	off”	off + ”	punct	no	note that concurrently with the UAE being “tipped off” to the CIA’s knowledge of the camp, one of the tribal
506	36	...	. + . + .	punct	no	with regard to ...KSM,”July 8,1999.On KSM’s battle experience and his electronics work,see Intelligence reports,
506	53	Yousef’s	Yousef + ’s	punct	no	7. Evidence gathered at the time of Yousef’s February 1995 arrest included dolls wearing clothes containing
507	23	Yousef’s	Yousef + ’s	punct	no	where Yousef’s arrest took place, as has been suggested in the press.
509	20	itself’	itself + ’	punct	no	rorist act ‘in Mecca inside the Ka’aba itself’ [the holiest site in Islam] if he believed there was a need to do so”). On
510	6	Atef’s	Atef + ’s	punct	no	of KSM, Feb. 19, 2004. For Atef’s role, see Intelligence report, interrogation of KSM, Jan. 9, 2004. For Atef’s death,
510	6	Atef’s	Atef + ’s	punct	no	of KSM, Feb. 19, 2004. For Atef’s role, see Intelligence report, interrogation of KSM, Jan. 9, 2004. For Atef’s death,
519	20	Thief”).	Thief + ”).	punct	no	Terrorist Within,” June 23–July 7, 2002 (part 6,“It Takes a Thief”). A friend of Ressam’s, Fateh Kamel, would pay
520	37	“Nawaf”	“Nawaf + ”	punct	no	unreported intelligence associated with the same sources, analysts would have been able to quickly learn “Nawaf”
524	7	...	. + . + .	punct	no	Massoud will enhance our ability to report on UBL and increase retaliation options if ...we are attacked by UBL”).
538	12	operation,see	operation, + see	punct	no	rogation of detainee,Apr.12,2004.For the cargo planes operation,see Intelligence report,interrogation of detainee,
553	54	staff’s	staff + ’s	punct	no	NSC staff’s Paul Kurtz wrote to then national security adviser Samuel Berger,“We noted while there was no infor-
560	45	Bombing,p.11.	Bombing, + p. + 11.	punct	no	Center Bombing,p.11.
562	45	chief’s	chief + ’s	punct	no	52. For the chief’s and companies’ arrival, see Jules Naudet and Gedeon Naudet,video footage, Sept. 11, 2001;
566	30	chief’s	chief + ’s	punct	no	Sept. 11, 2001. For the other ladder company, see OEM interview 1 (Feb. 12, 2004). For the senior chief’s perspec-
566	35	chief’s	chief + ’s	punct	no	Chief (Mar. 3, 2004). For the senior chief’s perspective, see Port Authority recording,WTC channel 30 (repeater
567	1	chief’s	chief + ’s	punct	no	126. For the chief’s perspective, see FDNY interview 43, Chief (Mar. 3, 2004). For the four companies, see
567	17	chief’s	chief + ’s	punct	no	interview 15,Chief (Jan.14,2004);FDNY interview 5,Chief (Dec.16,2003).For one chief’s perspective,see FDNY
568	4	Chief’s	Chief + ’s	punct	no	2001. For the PAPD Chief’s and officers’ ascent, see PANYNJ statement 1, Feb. 1, 2002. For the calls to the PAPD
572	54	off”	off + ”	punct	no	ees were told to “hold off” on Defcon 3, but a minute later the order was reinstated. Rumsfeld believed the mat-
576	29	Musharraf’s	Musharraf + ’s	punct	no	in Islamabad sent Musharraf’s answer to the State Department by cable.
582	43	(2002),§	(2002), + §	punct	no	ments.Pub.L.No.107-173,116 Stat.543 (2002),§ 303(b).The Act also required that increased security still facilitate
