page	line	token	pieces	leftFont	rightFont	fontChange	gapEm	dy	spaceGlyph	native	found
323	28	andVesey.155	and + Vesey.155	KAFHKN+Bembo	KAFHKN+Bembo	no	0.102	0.00	no	at Church andVesey.155	yes
327	16	theWTC.Three	the + WTC.Three	KAFHKN+Bembo	KAFHKN+Bembo	no	0.101	0.00	no	Street to continue running north,well away from theWTC.Three of the most	yes
329	32	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	themselves around the clock to putting NewYork City back on its feet.189	yes
333	12	NewYork.There	New + York.There	KAFHKN+Bembo	KAFHKN+Bembo	no	0.108	0.00	no	from the far more difficult task in NewYork.There was a single incident, and	yes
333	36	NewYork,	New + York,	KAFHKN+Bembo	KAFHKN+Bembo	no	0.113	0.00	no	response to the attacks on 9/11 was necessarily improvised. In NewYork, the	yes
341	14	lesson	le + sson	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	The lesson of 9/11 for civilians and first responders can be stated simply:	yes
343	2	After	Afte + r	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	After the attacks had occurred, while crisis managers were still sorting	yes
347	36	departed.29The	departed.29 + The	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.135	-2.31	no	before the flights departed.29The Federal Aviation Administration rep-	yes
348	12	somber.32The	somber.32 + The	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.120	-2.26	no	dent’s mood as somber.32The long day was not yet over.When the larger meet-	yes
348	15	council.”33This	council.”33 + This	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.118	-2.26	no	council.”33This group usually includedVice President Cheney,Secretary of State	yes
354	41	issued	issue + d	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	Having issued directives to guide his administration’s preparations for	yes
354	41	directives	directive + s	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	Having issued directives to guide his administration’s preparations for	yes
357	2	composing	compo + sing	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.103	0.00	no	In composing this narrative, we have tried to remember that we write	yes
363	33	thousands.”18Yet	thousands.”18 + Yet	KAFHKN+Bembo	KAFHKN+Bembo	yes	0.116	-3.44	no	dreds of thousands.”18Yet the possibility was imaginable,and imagined.In early	yes
379	4	Three	Thre + e	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	Three years after 9/11, Americans are still thinking and talking about	yes
379	4	years	year + s	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	Three years after 9/11, Americans are still thinking and talking about	yes
379	4	after	afte + r	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	Three years after 9/11, Americans are still thinking and talking about	yes
399	18	CooperativeThreat	Cooperative + Threat	KAFHKN+Bembo	KAFHKN+Bembo	no	0.122	0.00	no	in this area, the CooperativeThreat Reduction Program (usually referred to as	yes
417	3	presently	pre + se + ntly	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	As presently configured, the national security institutions of the U.S.	yes
417	3	presently	pre + se + ntly	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	As presently configured, the national security institutions of the U.S.	yes
417	3	configured,	configure + d,	KAFIIG+Bembo-SC	KAFIIG+Bembo-SC	no	0.114	0.00	no	As presently configured, the national security institutions of the U.S.	yes
450	64	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	rity, NewYork Field Office, 1997–2001; Chief	yes
457	14	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	David Lim, Police Department, Port Authority of NewYork and New Jersey	yes
458	14	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	Ken Holden, Commissioner, NewYork City Department of	yes
461	8	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	Stephen J. Schulhofer, NewYork University, School of Law	yes
464	9	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	Bernard B. Kerik, former Commissioner, NewYork Police Department	yes
464	10	ThomasVon	Thomas + Von	KAFHKN+Bembo	KAFHKN+Bembo	no	0.102	0.00	no	ThomasVon Essen, former Commissioner, Fire Department of New York	yes
464	11	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	Richard Sheirer, former Director, NewYork City Office of	yes
464	13	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	Raymond W. Kelly, Commissioner, NewYork Police Department	yes
464	14	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	Nicholas Scoppetta, Commissioner, Fire Department of NewYork	yes
464	15	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	Joseph F. Bruno, Director, NewYork City Office of Emergency Management	yes
464	18	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	Jerome M. Hauer, former Commissioner, NewYork City Office of	yes
465	15	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	Benedict Sliney, Operations Manager, NewYork Terminal Radar Approach	yes
477	41	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.133	0.00	no	123. FAA audio file, NewYork Center, position R42, 8:42–8:45; FAA memo,“Full Transcript;Aircraft Acci-	yes
477	48	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	124. FAA audio file, Herndon Command Center, NewYork Center position, line 5114, 8:48.	yes
479	39	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	Center, NewYork Center position, line 5154.	yes
488	9	InconclusiveTies	Inconclusive + Ties	KAFHKN+Bembo	KAFHKN+Bembo	no	0.125	0.00	no	2003. See also DIA analytic report,“Special Analysis: Iraq’s InconclusiveTies to Al-Qaida,” July 31, 2002; CIA ana-	yes
499	25	JoWhite	Jo + White	KAFHKN+Bembo	KAFHKN+Bembo	no	0.100	0.00	no	26.Mike interviews (Dec.11,2003;Jan.6,2004);Jeff interview (Dec.17,2003);Mary JoWhite interview (May	yes
507	8	AhmedYousef,	Ahmed + Yousef,	KAFJDA+Bembo-Italic	KAFJDA+Bembo-Italic	no	0.111	0.00	no	Ramzi AhmedYousef, No. 98-1041(L) (2d Cir. filed Aug. 25, 2000), pp. 85–86, 88–91.The latter explosion caused	yes
521	19	ToAttack	To + Attack	KAFHKN+Bembo	KAFHKN+Bembo	no	0.139	0.00	no	“Reported Plan ToAttack U.S.Presidential Plane If HeVisits Pakistan,”Feb.18,2000;NSC email,Clarke to Berger,	yes
525	50	byYemen	by + Yemen	KAFHKN+Bembo	KAFHKN+Bembo	no	0.103	0.00	no	“Information provided byYemen intelligence,” Dec. 17, 2000.	yes
529	13	DC-CovertAction	DC-Covert + Action	KAFHKN+Bembo	KAFHKN+Bembo	no	0.126	0.00	no	ing,Friday,June 29,2001,”June 28,2001;see DOS memo,“Pakistan/Afghanistan DC-CovertAction Issue,”undated	yes
554	32	LarryThompson	Larry + Thompson	KAFHKN+Bembo	KAFHKN+Bembo	no	0.124	0.00	no	their views on the facts surrounding their meetings. LarryThompson interview (Jan. 29, 2004); Dale Watson inter-	yes
564	24	PortAuthority	Port + Authority	KAFHKN+Bembo	KAFHKN+Bembo	no	0.128	0.00	no	scripts of recorded PortAuthority calls and radio channels,Sept.11,2001,vol.II,channel X,pp.25–31;PortAuthor-	yes
566	24	PortAuthority	Port + Authority	KAFHKN+Bembo	KAFHKN+Bembo	no	0.126	0.00	no	119.For their commencing operations,see PortAuthority recording,WTC channel 30 (repeater channel),Sept.	yes
571	44	NewYork	New + York	KAFHKN+Bembo	KAFHKN+Bembo	no	0.122	0.00	no	OEM.” NewYork City memo, Office of the Mayor,“Direction and Control of Emergencies in the City of New	yes
