page	line	token	pieces	class	atRunBoundary	marked
333	36	NewYork,	New + York,	word	no	response to the attacks on 9/11 was necessarily improvised. In NewYork, the
341	14	lesson	le + sson	word	no	The lesson of 9/11 for civilians and first responders can be stated simply:
343	2	After	Afte + r	word	no	After the attacks had occurred, while crisis managers were still sorting
347	36	departed.29The	departed.29 + The	word	yes	before the flights departed.¦29¦The Federal Aviation Administration rep-
348	12	somber.32The	somber.32 + The	word	yes	dent’s mood as somber.¦32¦The long day was not yet over.When the larger meet-
348	15	council.”33This	council.”33 + This	word	yes	council.”¦33¦This group usually includedVice President Cheney,Secretary of State
354	41	issued	issue + d	word	no	Having issued directives to guide his administration’s preparations for
354	41	directives	directive + s	word	no	Having issued directives to guide his administration’s preparations for
357	2	composing	compo + sing	word	no	In composing this narrative, we have tried to remember that we write
363	33	thousands.”18Yet	thousands.”18 + Yet	word	yes	dreds of thousands.”¦18¦Yet the possibility was imaginable,and imagined.In early
379	4	Three	Thre + e	word	no	Three years after 9/11, Americans are still thinking and talking about
379	4	years	year + s	word	no	Three years after 9/11, Americans are still thinking and talking about
379	4	after	afte + r	word	no	Three years after 9/11, Americans are still thinking and talking about
399	18	CooperativeThreat	Cooperative + Threat	word	no	in this area, the CooperativeThreat Reduction Program (usually referred to as
417	3	presently	pre + se + ntly	word	no	As presently configured, the national security institutions of the U.S.
417	3	configured,	configure + d,	word	no	As presently configured, the national security institutions of the U.S.
450	64	NewYork	New + York	word	no	rity, NewYork Field Office, 1997–2001; Chief
457	14	NewYork	New + York	word	no	David Lim, Police Department, Port Authority of NewYork and New Jersey
458	14	NewYork	New + York	word	no	Ken Holden, Commissioner, NewYork City Department of
461	8	NewYork	New + York	word	no	Stephen J. Schulhofer, NewYork University, School of Law
464	9	NewYork	New + York	word	no	Bernard B. Kerik, former Commissioner, NewYork Police Department
464	10	ThomasVon	Thomas + Von	word	no	ThomasVon Essen, former Commissioner, Fire Department of New York
464	11	NewYork	New + York	word	no	Richard Sheirer, former Director, NewYork City Office of
464	13	NewYork	New + York	word	no	Raymond W. Kelly, Commissioner, NewYork Police Department
464	14	NewYork	New + York	word	no	Nicholas Scoppetta, Commissioner, Fire Department of NewYork
464	15	NewYork	New + York	word	no	Joseph F. Bruno, Director, NewYork City Office of Emergency Management
464	18	NewYork	New + York	word	no	Jerome M. Hauer, former Commissioner, NewYork City Office of
465	15	NewYork	New + York	word	no	Benedict Sliney, Operations Manager, NewYork Terminal Radar Approach
477	41	NewYork	New + York	word	no	123. FAA audio file, NewYork Center, position R42, 8:42–8:45; FAA memo,“Full Transcript;Aircraft Acci-
477	48	NewYork	New + York	word	no	124. FAA audio file, Herndon Command Center, NewYork Center position, line 5114, 8:48.
479	39	NewYork	New + York	word	no	Center, NewYork Center position, line 5154.
488	9	InconclusiveTies	Inconclusive + Ties	word	no	2003. See also DIA analytic report,“Special Analysis: Iraq’s InconclusiveTies to Al-Qaida,” July 31, 2002; CIA ana-
499	25	JoWhite	Jo + White	word	no	26.Mike interviews (Dec.11,2003;Jan.6,2004);Jeff interview (Dec.17,2003);Mary JoWhite interview (May
507	8	AhmedYousef,	Ahmed + Yousef,	word	no	Ramzi AhmedYousef, No. 98-1041(L) (2d Cir. filed Aug. 25, 2000), pp. 85–86, 88–91.The latter explosion caused
521	19	ToAttack	To + Attack	word	no	“Reported Plan ToAttack U.S.Presidential Plane If HeVisits Pakistan,”Feb.18,2000;NSC email,Clarke to Berger,
525	50	byYemen	by + Yemen	word	no	“Information provided byYemen intelligence,” Dec. 17, 2000.
529	13	DC-CovertAction	DC-Covert + Action	word	no	ing,Friday,June 29,2001,”June 28,2001;see DOS memo,“Pakistan/Afghanistan DC-CovertAction Issue,”undated
554	32	LarryThompson	Larry + Thompson	word	no	their views on the facts surrounding their meetings. LarryThompson interview (Jan. 29, 2004); Dale Watson inter-
564	24	PortAuthority	Port + Authority	word	no	scripts of recorded PortAuthority calls and radio channels,Sept.11,2001,vol.II,channel X,pp.25–31;PortAuthor-
566	24	PortAuthority	Port + Authority	word	no	119.For their commencing operations,see PortAuthority recording,WTC channel 30 (repeater channel),Sept.
571	44	NewYork	New + York	word	no	OEM.” NewYork City memo, Office of the Mayor,“Direction and Control of Emergencies in the City of New
