page	previous_page_last_note	first_note_start	lines_above_first_start	first_line_edge	continuation_opens	baseline	candidate	first_text
513	c5-68	c5-69	0	no-lead		note-start	note-start	69. German BKA report, investigative summary re Bi
514	c5-87	c5-88	0	no-lead		note-start	note-start	88.Shehhi and other members of the group used to f
515	c5-102	c5-103	9	lead-at-dedent	lowercase	joined	joined	gation,” Feb. 29, 2004, p. 78. Ali, in turn, would
516	c5-113	c5-114	3	lead-at-dedent	lowercase	joined	joined	ing with Two of UBL’s Brothers, May 19, 2000;Youss
517	c5-127	c5-128	5	lead-at-dedent	lowercase	joined	joined	ist acts were interrupted as a result. For al Qaed
518	c5-132	c6-1	1	lead-at-dedent	number	separate	separate	6 From Threat to Threat
519	c6-16	c6-17	3	lead-at-dedent	lowercase	joined	joined	dents—indicating that these new authorities were l
520	c6-37	c6-38	0	no-lead		note-start	note-start	38.Vanderbilt University,Television News Archive, 
521	c6-54	c6-55	0	no-lead		note-start	note-start	55. CIA briefing, CTC Update,“Islamic Extremist Te
522	c6-74	c6-75	2	lead-at-dedent	lowercase	joined	joined	mental appropriation “a lifesaver.” See, for examp
523	c6-86	c6-87	0	no-lead		note-start	note-start	87. See NSC memo, Kurtz to Berger, June 28, 2000; 
524	c6-101	c6-102	3	lead-at-dedent	number	separate	joined	2000.CIA briefing materials,EXDIR Update,“Islamic 
525	c6-118	c6-119	0	no-lead		note-start	note-start	119. NSC note, Clarke to Berger,“Procedures for Pr
526	c6-136	c6-137	2	lead-at-dedent	lowercase	joined	joined	istration working with Russia, see NSC memo, Berge
527	c6-158	c6-159	2	lead-at-dedent	lowercase	joined	joined	ident Bush and asked for the additional authority.
528	c6-180	c6-181	2	lead-at-dedent	capital	separate	joined	Clarke to NSC Front Office and others,“Captured Al
529	c6-201	c6-202	0	no-lead		note-start	note-start	202. See, e.g., Condoleezza Rice testimony,Apr. 8,
530	c6-221	c6-222	0	no-lead		note-start	note-start	222. Donald Rumsfeld interview (Jan. 30, 2004). Ru
531	c6-237	c6-238	0	no-lead		note-start	note-start	238. CIA memo, Black to Clarke, Jan. 25, 2001. For
532	c7-2	c7-3	3	lead-at-dedent	quotation/bracket	separate	joined	“Alternate View:Two 11 September Hijackers Possibl
533	c7-13	c7-14	13	lead-at-dedent	lowercase	joined	joined	qualified as an extremist while he was in Los Ange
534	c7-19	c7-20	10	lead-at-dedent	lowercase	joined	joined	place Bayoumi in Thumairy’s circle of associates. 
535	c7-28	c7-29	5	lead-at-dedent	lowercase	joined	joined	of the hijackers’ move to their final San Diego ad
536	c7-36	c7-37	2	lead-at-dedent	capital	separate	joined	Sorbi Flying Club in San Diego. On May 5, both of 
537	c7-45	c7-46	5	lead-at-dedent	lowercase	joined	joined	see ibid. (June 2, 2000, entry citing Teletype, Se
538	c7-52	c7-53	7	lead-at-indent	capital	separate	separate	Essabar may have been intended to replace Binalshi
539	c7-56	c7-57	2	lead-at-dedent	lowercase	joined	joined	worked as a computer programmer in Arizona before 
540	c7-64	c7-65	9	lead-at-dedent	number	separate	joined	2002. For his training at Pan Am International Fli
541	c7-70	c7-71	5	lead-at-dedent	lowercase	joined	joined	he were so close that Atta probably would have tol
542	c7-80	c7-81	2	lead-at-dedent	number	separate	joined	280350-302, serial 381; 265A-NY-280350-MM, serial 
543	c7-99	c7-100	3	lead-at-dedent	lowercase	joined	joined	edge that the commander of al Faruq training camp 
544	c7-107		0	no-lead		joined	joined	he was among a select number of operatives who had
545		c7-108	0	no-lead		joined	joined	allegiance to Bin Ladin and commitment to complete
546	c7-114	c7-115	44	lead-at-dedent	capital	separate	joined	Shehri and another individual (presumably Suqami) 
547	c7-119	c7-120	0	no-lead		note-start	note-start	120. Intelligence reports, interrogations of detai
548	c7-140	c7-141	0	no-lead		note-start	note-start	141.On Binalshibh’s meeting with Bin Ladin,Intelli
549	c7-157	c7-158	2	lead-at-dedent	lowercase	joined	joined	interrogations of Binalshibh, Dec. 11, 2002;Apr. 1
550	c7-173	c7-174	3	lead-at-dedent	lowercase	joined	joined	recently, Binalshibh has claimed that he neither c
551	c7-191	c7-192	6	lead-at-dedent	capital	separate	joined	SD, serial 1522; 315N-NY-280350-302, serials 16597
552	c8-12	c8-13	8	lead-at-dedent	capital	separate	joined	KSM, July 11, 2001.As noted in chapter 7, KSM has 
553	c8-35	c8-36	0	no-lead		note-start	note-start	36. President Bush and Vice President Cheney meeti
554	c8-47	c8-48	10	lead-at-dedent	lowercase	joined	joined	rity measures.Two continued certain measures that 
555	c8-60	c8-61	4	lead-at-dedent	lowercase	joined	joined	tor General interviews of Steve B., Sept. 16, 2002
556	c8-71	c8-72	4	lead-at-dedent	lowercase	joined	joined	two attorneys in the U.S. Attorney’s Office for th
557	c8-81	c8-82	2	lead-at-dedent	lowercase	joined	joined	not be shared with criminal agents.This was incorr
558	c8-85	c8-86	5	lead-at-dedent	capital	separate	joined	See FBI report,financial spreadsheet re:9/11 hijac
559	c8-102	c8-103	0	no-lead		note-start	note-start	103. CIA briefing materials, DCI Update,“Islamic E
560	c9-9	c9-10	2	lead-at-dedent	capital	separate	joined	Authority response to Commission interrogatory, Ma
561	c9-27	c9-28	3	lead-at-dedent	capital	separate	joined	OEM interview 3 (Mar. 16, 2004).The Watch Command’
562	c9-44	c9-45	6	lead-at-dedent	lowercase	joined	joined	a major incident had occurred,see,e.g.,Civilian in
563	c9-55	c9-56	2	lead-at-dedent	number	separate	joined	4, Chief (Jan. 8, 2004); FDNY interview 15, Chief 
564	c9-78	c9-79	2	lead-at-dedent	lowercase	joined	joined	cial’s arrival, see OEM interview 4 (Mar. 18, 2004
565	c9-96	c9-97	3	lead-at-dedent	lowercase	joined	joined	in offices or otherwise obstructed from proceeding
566	c9-113	c9-114	2	lead-at-dedent	lowercase	joined	joined	interview 40, Battalion 4 (Feb. 12, 2004); FDNY in
567	c9-125	c9-126	0	no-lead		note-start	note-start	126. For the chief’s perspective, see FDNY intervi
568	c9-151	c9-152	2	lead-at-dedent	lowercase	joined	joined	of recorded Port Authority calls and radio channel
569	c9-165	c9-166	2	lead-at-dedent	lowercase	joined	joined	action,see FDNY interview 23,Chief (Jan.23,2004).F
570	c9-179	c9-180	2	lead-at-dedent	number	separate	joined	6, ESU (Feb. 19, 2004). For the subsequent exchang
571	c9-193	c9-194	2	lead-at-dedent	capital	separate	joined	Bank meetings, see “Washington Is Seeking Support 
572	c9-208	c9-209	2	lead-at-dedent	lowercase	joined	joined	cers and one of the firefighters in the North Towe
573	c10-8	c10-9	0	no-lead		note-start	note-start	9.The 9/11 crisis tested the U.S. government’s pla
574	c10-16	c10-17	4	lead-at-dedent	lowercase	joined	joined	chaired by former senators Gary Hart and Warren Ru
575	c10-25	c10-26	12	lead-at-dedent	lowercase	joined	joined	heard if there had been anything unusual about it.
576	c10-29	c10-30	0	no-lead		note-start	note-start	30. Jack S. interview (June 14, 2004).
577	c10-49	c10-50	0	no-lead		note-start	note-start	50. NSC memo,“Conclusions of National Security Cou
578	c10-75	c10-76	4	lead-at-dedent	lowercase	joined	joined	erately selecting a non–al Qaeda target like Iraq.
579	c11-13	c11-14	0	no-lead		note-start	note-start	14. For the August report, see Intelligence report
580	c11-39	c11-40	4	lead-at-dedent	quotation/bracket	separate	joined	(Nov. 10, 2003); Mary C. interview (Oct. 25, 2003)
581	c12-13	c12-14	2	lead-at-dedent	number	separate	joined	2003).For the request that the United States remai
582	c12-32	c12-33	7	lead-at-dedent	capital	separate	joined	Waleed al Shehri, Mohand al Shehri, Hani Hanjour, 
583	c12-38	c12-39	3	lead-at-dedent	lowercase	joined	joined	haps cyclical economic factors.For the cost to the
584	c13-4	c13-5	19	lead-at-dedent	capital	separate	separate	The proposed National Counterterrorism Center shou
585	c13-15	c13-16	0	no-lead		note-start	note-start	16.The intelligence community currently makes info
